47145: Roane, Tennessee
55109: St Croix, Wisconsin
13097: Douglas, Georgia
45083: Spartanburg, South Carolina
28139: Tippah, Mississippi
39031: Coshocton, Ohio
48437: Swisher, Texas
13099: Early, Georgia
39001: Adams, Ohio
27097: Morrison, Minnesota
18065: Henry, Indiana
19043: Clayton, Iowa
55027: Dodge, Wisconsin
53043: Lincoln, Washington
56003: Big Horn, Wyoming
29027: Callaway, Missouri
29215: Texas, Missouri
35057: Torrance, New Mexico
13313: Whitfield, Georgia
47053: Gibson, Tennessee
37115: Madison, North Carolina
8117: Summit, Colorado
37061: Duplin, North Carolina
17113: Mclean, Illinois
13063: Clayton, Georgia
21149: Mclean, Kentucky
26069: Iosco, Michigan
36089: St Lawrence, New York
35021: Harding, New Mexico
51147: Prince Edward, Virginia
5059: Hot Spring, Arkansas
31149: Rock, Nebraska
18023: Clinton, Indiana
22037: East Feliciana, Louisiana
40103: Noble, Oklahoma
21039: Carlisle, Kentucky
38043: Kidder, North Dakota
41069: Wheeler, Oregon
50001: Addison, Vermont
18125: Pike, Indiana
17181: Union, Illinois
56025: Natrona, Wyoming
55021: Columbia, Wisconsin
29071: Franklin, Missouri
32001: Churchill, Nevada
18015: Carroll, Indiana
1125: Tuscaloosa, Alabama
51775: Salem City, Virginia
4019: Pima, Arizona
48221: Hood, Texas
17063: Grundy, Illinois
51007: Amelia, Virginia
13155: Irwin, Georgia
19149: Plymouth, Iowa
37033: Caswell, North Carolina
12091: Okaloosa, Florida
40087: Mcclain, Oklahoma
35019: Guadalupe, New Mexico
5101: Newton, Arkansas
21205: Rowan, Kentucky
21019: Boyd, Kentucky
13119: Franklin, Georgia
56041: Uinta, Wyoming
13077: Coweta, Georgia
19059: Dickinson, Iowa
20119: Meade, Kansas
48213: Henderson, Texas
29221: Washington, Missouri
38029: Emmons, North Dakota
27055: Houston, Minnesota
19051: Davis, Iowa
12075: Levy, Florida
26135: Oscoda, Michigan
56019: Johnson, Wyoming
21187: Owen, Kentucky
27083: Lyon, Minnesota
5073: Lafayette, Arkansas
51155: Pulaski, Virginia
48017: Bailey, Texas
6065: Riverside, California
40041: Delaware, Oklahoma
46075: Jones, South Dakota
41071: Yamhill, Oregon
17115: Macon, Illinois
56017: Hot Springs, Wyoming
48255: Karnes, Texas
51700: Newport News City, Virginia
38019: Cavalier, North Dakota
22039: Evangeline, Louisiana
20101: Lane, Kansas
1123: Tallapoosa, Alabama
29115: Linn, Missouri
47161: Stewart, Tennessee
36031: Essex, New York
31021: Burt, Nebraska
46077: Kingsbury, South Dakota
17015: Carroll, Illinois
26157: Tuscola, Michigan
20145: Pawnee, Kansas
27085: McLeod, Minnesota
24029: Kent, Maryland
36119: Westchester, New York
42023: Cameron, Pennsylvania
48251: Johnson, Texas
40111: Okmulgee, Oklahoma
48263: Kent, Texas
26035: Clare, Michigan
51013: Arlington, Virginia
48381: Randall, Texas
26067: Ionia, Michigan
19173: Taylor, Iowa
17171: Scott, Illinois
51570: Colonial Heights City, Virginia
48253: Jones, Texas
16077: Power, Idaho
18051: Gibson, Indiana
21083: Graves, Kentucky
22109: Terrebonne, Louisiana
48153: Floyd, Texas
5083: Logan, Arkansas
55075: Marinette, Wisconsin
39027: Clinton, Ohio
26161: Washtenaw, Michigan
51199: York, Virginia
21105: Hickman, Kentucky
22071: Orleans, Louisiana
30007: Broadwater, Montana
18009: Blackford, Indiana
53023: Garfield, Washington
1107: Pickens, Alabama
19017: Bremer, Iowa
39169: Wayne, Ohio
20137: Norton, Kansas
27069: Kittson, Minnesota
27119: Polk, Minnesota
55107: Rusk, Wisconsin
32013: Humboldt, Nevada
21199: Pulaski, Kentucky
18089: Lake, Indiana
29179: Reynolds, Missouri
21135: Lewis, Kentucky
48031: Blanco, Texas
48359: Oldham, Texas
25001: Barnstable, Massachusetts
26145: Saginaw, Michigan
18001: Adams, Indiana
51510: Alexandria City, Virginia
39121: Noble, Ohio
12071: Lee, Florida
37031: Carteret, North Carolina
33005: Cheshire, New Hampshire
12113: Santa Rosa, Florida
37145: Person, North Carolina
13015: Bartow, Georgia
48103: Crane, Texas
40139: Texas, Oklahoma
45071: Newberry, South Carolina
47075: Haywood, Tennessee
56001: Albany, Wyoming
51730: Petersburg City, Virginia
27081: Lincoln, Minnesota
40113: Osage, Oklahoma
27077: Lake of The Woods, Minnesota
48037: Bowie, Texas
50015: Lamoille, Vermont
27031: Cook, Minnesota
46091: Marshall, South Dakota
19019: Buchanan, Iowa
22087: St Bernard, Louisiana
28097: Montgomery, Mississippi
10005: Sussex, Delaware
13031: Bulloch, Georgia
47095: Lake, Tennessee
40063: Hughes, Oklahoma
16043: Fremont, Idaho
24017: Charles, Maryland
42115: Susquehanna, Pennsylvania
18137: Ripley, Indiana
27137: St Louis, Minnesota
28063: Jefferson, Mississippi
48299: Llano, Texas
42013: Blair, Pennsylvania
19141: Obrien, Iowa
30107: Wheatland, Montana
1009: Blount, Alabama
20105: Lincoln, Kansas
17103: Lee, Illinois
40153: Woodward, Oklahoma
19181: Warren, Iowa
48023: Baylor, Texas
38061: Mountrail, North Dakota
6033: Lake, California
18109: Morgan, Indiana
31145: Red Willow, Nebraska
37165: Scotland, North Carolina
55057: Juneau, Wisconsin
47019: Carter, Tennessee
29213: Taney, Missouri
17183: Vermilion, Illinois
48231: Hunt, Texas
21097: Harrison, Kentucky
22095: St John The Baptist, Louisiana
40057: Harmon, Oklahoma
13047: Catoosa, Georgia
17013: Calhoun, Illinois
1117: Shelby, Alabama
51097: King and Queen, Virginia
1023: Choctaw, Alabama
33013: Merrimack, New Hampshire
46109: Roberts, South Dakota
47061: Grundy, Tennessee
19033: Cerro Gordo, Iowa
48189: Hale, Texas
13233: Polk, Georgia
29186: Ste Genevieve, Missouri
18025: Crawford, Indiana
20061: Geary, Kansas
29025: Caldwell, Missouri
53007: Chelan, Washington
27173: Yellow Medicine, Minnesota
19169: Story, Iowa
53075: Whitman, Washington
19117: Lucas, Iowa
13227: Pickens, Georgia
20143: Ottawa, Kansas
40029: Coal, Oklahoma
51017: Bath, Virginia
8069: Larimer, Colorado
24001: Allegany, Maryland
17033: Crawford, Illinois
54007: Braxton, West Virginia
46101: Moody, South Dakota
47083: Houston, Tennessee
45029: Colleton, South Carolina
22023: Cameron, Louisiana
42101: Philadelphia, Pennsylvania
48369: Parmer, Texas
27133: Rock, Minnesota
37107: Lenoir, North Carolina
47167: Tipton, Tennessee
48435: Sutton, Texas
48343: Morris, Texas
48117: Deaf Smith, Texas
30057: Madison, Montana
51049: Cumberland, Virginia
26053: Gogebic, Michigan
5103: Ouachita, Arkansas
20051: Ellis, Kansas
48049: Brown, Texas
37157: Rockingham, North Carolina
21051: Clay, Kentucky
37181: Vance, North Carolina
5043: Drew, Arkansas
48085: Collin, Texas
41003: Benton, Oregon
39089: Licking, Ohio
21021: Boyle, Kentucky
38057: Mercer, North Dakota
28001: Adams, Mississippi
29023: Butler, Missouri
19091: Humboldt, Iowa
26023: Branch, Michigan
17123: Marshall, Illinois
13059: Clarke, Georgia
13243: Randolph, Georgia
36123: Yates, New York
19131: Mitchell, Iowa
20057: Ford, Kansas
8014: Broomfield, Colorado
55103: Richland, Wisconsin
46057: Hamlin, South Dakota
13209: Montgomery, Georgia
37065: Edgecombe, North Carolina
20169: Saline, Kansas
37025: Cabarrus, North Carolina
39085: Lake, Ohio
31083: Harlan, Nebraska
17095: Knox, Illinois
17105: Livingston, Illinois
49015: Emery, Utah
40125: Pottawatomie, Oklahoma
21197: Powell, Kentucky
13165: Jenkins, Georgia
19147: Palo Alto, Iowa
51171: Shenandoah, Virginia
1033: Colbert, Alabama
48463: Uvalde, Texas
13105: Elbert, Georgia
29103: Knox, Missouri
17159: Richland, Illinois
15007: Kauai, Hawaii
37185: Warren, North Carolina
20087: Jefferson, Kansas
51810: Virginia Beach City, Virginia
6057: Nevada, California
47039: Decatur, Tennessee
45023: Chester, South Carolina
48379: Rains, Texas
45035: Dorchester, South Carolina
30039: Granite, Montana
37057: Davidson, North Carolina
48201: Harris, Texas
19179: Wapello, Iowa
48417: Shackelford, Texas
37149: Polk, North Carolina
27165: Watonwan, Minnesota
36057: Montgomery, New York
26139: Ottawa, Michigan
48009: Archer, Texas
28077: Lawrence, Mississippi
41059: Umatilla, Oregon
30081: Ravalli, Montana
26125: Oakland, Michigan
26119: Montmorency, Michigan
19157: Poweshiek, Iowa
8065: Lake, Colorado
39145: Scioto, Ohio
35043: Sandoval, New Mexico
48145: Falls, Texas
30015: Chouteau, Montana
5067: Jackson, Arkansas
37127: Nash, North Carolina
21107: Hopkins, Kentucky
47175: Van Buren, Tennessee
36037: Genesee, New York
49049: Utah, Utah
35005: Chaves, New Mexico
37103: Jones, North Carolina
12005: Bay, Florida
40097: Mayes, Oklahoma
37037: Chatham, North Carolina
45001: Abbeville, South Carolina
26085: Lake, Michigan
48395: Robertson, Texas
13189: McDuffie, Georgia
13275: Thomas, Georgia
36073: Orleans, New York
29031: Cape Girardeau, Missouri
47127: Moore, Tennessee
17067: Hancock, Illinois
48499: Wood, Texas
26071: Iron, Michigan
27023: Chippewa, Minnesota
46019: Butte, South Dakota
26019: Benzie, Michigan
48055: Caldwell, Texas
39131: Pike, Ohio
28151: Washington, Mississippi
51075: Goochland, Virginia
5049: Fulton, Arkansas
12061: Indian River, Florida
49043: Summit, Utah
1069: Houston, Alabama
20157: Republic, Kansas
46045: Edmunds, South Dakota
28059: Jackson, Mississippi
41043: Linn, Oregon
6067: Sacramento, California
39067: Harrison, Ohio
2164: Lake and Peninsula, Alaska
16035: Clearwater, Idaho
48107: Crosby, Texas
13247: Rockdale, Georgia
5087: Madison, Arkansas
40121: Pittsburg, Oklahoma
51033: Caroline, Virginia
5057: Hempstead, Arkansas
41021: Gilliam, Oregon
49031: Piute, Utah
46015: Brule, South Dakota
51091: Highland, Virginia
13273: Terrell, Georgia
48121: Denton, Texas
51036: Charles City, Virginia
48149: Fayette, Texas
49011: Davis, Utah
21171: Monroe, Kentucky
46087: McCook, South Dakota
47131: Obion, Tennessee
45011: Barnwell, South Carolina
13225: Peach, Georgia
26077: Kalamazoo, Michigan
13125: Glascock, Georgia
39015: Brown, Ohio
27171: Wright, Minnesota
19009: Audubon, Iowa
12117: Seminole, Florida
47057: Grainger, Tennessee
27013: Blue Earth, Minnesota
48127: Dimmit, Texas
21065: Estill, Kentucky
37175: Transylvania, North Carolina
1055: Etowah, Alabama
20039: Decatur, Kansas
39157: Tuscarawas, Ohio
51153: Prince William, Virginia
6089: Shasta, California
40145: Wagoner, Oklahoma
27105: Nobles, Minnesota
28127: Simpson, Mississippi
42025: Carbon, Pennsylvania
5013: Calhoun, Arkansas
51595: Emporia City, Virginia
48163: Frio, Texas
18059: Hancock, Indiana
53051: Pend Oreille, Washington
48317: Martin, Texas
4009: Graham, Arizona
51113: Madison, Virginia
13081: Crisp, Georgia
13237: Putnam, Georgia
46113: Shannon, South Dakota
40023: Choctaw, Oklahoma
37105: Lee, North Carolina
51515: Bedford City, Virginia
29223: Wayne, Missouri
48203: Harrison, Texas
47135: Perry, Tennessee
48205: Hartley, Texas
46129: Walworth, South Dakota
41035: Klamath, Oregon
51165: Rockingham, Virginia
51059: Fairfax, Virginia
37161: Rutherford, North Carolina
38083: Sheridan, North Dakota
16069: Nez Perce, Idaho
33001: Belknap, New Hampshire
22081: Red River, Louisiana
12093: Okeechobee, Florida
5129: Searcy, Arkansas
16065: Madison, Idaho
8121: Washington, Colorado
48319: Mason, Texas
17083: Jersey, Illinois
30049: Lewis and Clark, Montana
8001: Adams, Colorado
45089: Williamsburg, South Carolina
35033: Mora, New Mexico
50009: Essex, Vermont
18087: Lagrange, Indiana
48441: Taylor, Texas
39119: Muskingum, Ohio
23015: Lincoln, Maine
40075: Kiowa, Oklahoma
1003: Baldwin, Alabama
27067: Kandiyohi, Minnesota
51790: Staunton City, Virginia
48193: Hamilton, Texas
48015: Austin, Texas
18101: Martin, Indiana
5131: Sebastian, Arkansas
39109: Miami, Ohio
29107: Lafayette, Missouri
8093: Park, Colorado
31181: Webster, Nebraska
19187: Webster, Iowa
48283: La Salle, Texas
48423: Smith, Texas
51670: Hopewell City, Virginia
40071: Kay, Oklahoma
48063: Camp, Texas
47089: Jefferson, Tennessee
13163: Jefferson, Georgia
42035: Clinton, Pennsylvania
37013: Beaufort, North Carolina
35003: Catron, New Mexico
21079: Garrard, Kentucky
19167: Sioux, Iowa
41009: Columbia, Oregon
45019: Charleston, South Carolina
19097: Jackson, Iowa
55069: Lincoln, Wisconsin
39125: Paulding, Ohio
17025: Clay, Illinois
19103: Johnson, Iowa
27127: Redwood, Minnesota
22053: Jefferson Davis, Louisiana
55129: Washburn, Wisconsin
19195: Worth, Iowa
31135: Perkins, Nebraska
1025: Clarke, Alabama
6097: Sonoma, California
54037: Jefferson, West Virginia
35047: San Miguel, New Mexico
56039: Teton, Wyoming
13001: Appling, Georgia
30051: Liberty, Montana
40133: Seminole, Oklahoma
48175: Goliad, Texas
36099: Seneca, New York
42051: Fayette, Pennsylvania
8067: La Plata, Colorado
27095: Mille Lacs, Minnesota
51197: Wythe, Virginia
17121: Marion, Illinois
54091: Taylor, West Virginia
25025: Suffolk, Massachusetts
12031: Duval, Florida
6077: San Joaquin, California
27043: Faribault, Minnesota
13205: Mitchell, Georgia
40007: Beaver, Oklahoma
37141: Pender, North Carolina
48165: Gaines, Texas
48171: Gillespie, Texas
48197: Hardeman, Texas
48119: Delta, Texas
36013: Chautauqua, New York
45087: Union, South Carolina
12015: Charlotte, Florida
38059: Morton, North Dakota
29057: Dade, Missouri
39141: Ross, Ohio
55119: Taylor, Wisconsin
21011: Bath, Kentucky
13053: Chattahoochee, Georgia
13095: Dougherty, Georgia
40049: Garvin, Oklahoma
28079: Leake, Mississippi
32017: Lincoln, Nevada
48479: Webb, Texas
1001: Autauga, Alabama
28133: Sunflower, Mississippi
48365: Panola, Texas
19007: Appanoose, Iowa
11001: District of Columbia, District of Columbia
48027: Bell, Texas
29053: Cooper, Missouri
1005: Barbour, Alabama
30083: Richland, Montana
16003: Adams, Idaho
54055: Mercer, West Virginia
31157: Scotts Bluff, Nebraska
42083: McKean, Pennsylvania
18041: Fayette, Indiana
38039: Griggs, North Dakota
8059: Jefferson, Colorado
38023: Divide, North Dakota
46031: Corson, South Dakota
18029: Dearborn, Indiana
46117: Stanley, South Dakota
13261: Sumter, Georgia
53025: Grant, Washington
19001: Adair, Iowa
20081: Haskell, Kansas
36105: Sullivan, New York
18091: La Porte, Indiana
17119: Madison, Illinois
40149: Washita, Oklahoma
22051: Jefferson, Louisiana
6075: San Francisco, California
35053: Socorro, New Mexico
48169: Garza, Texas
17019: Champaign, Illinois
46079: Lake, South Dakota
42075: Lebanon, Pennsylvania
22007: Assumption, Louisiana
53055: San Juan, Washington
27135: Roseau, Minnesota
18069: Huntington, Indiana
48045: Briscoe, Texas
12053: Hernando, Florida
20019: Chautauqua, Kansas
16049: Idaho, Idaho
18019: Clark, Indiana
48245: Jefferson, Texas
20093: Kearny, Kansas
27099: Mower, Minnesota
47087: Jackson, Tennessee
51520: Bristol City, Virginia
21133: Letcher, Kentucky
36053: Madison, New York
31053: Dodge, Nebraska
47071: Hardin, Tennessee
22085: Sabine, Louisiana
35041: Roosevelt, New Mexico
29225: Webster, Missouri
12039: Gadsden, Florida
47003: Bedford, Tennessee
48249: Jim Wells, Texas
45041: Florence, South Carolina
31129: Nuckolls, Nebraska
47141: Putnam, Tennessee
2068: Denali, Alaska
55045: Green, Wisconsin
55029: Door, Wisconsin
20077: Harper, Kansas
18079: Jennings, Indiana
28055: Issaquena, Mississippi
34031: Passaic, New Jersey
17147: Piatt, Illinois
42009: Bedford, Pennsylvania
12109: St Johns, Florida
19175: Union, Iowa
31111: Lincoln, Nebraska
19061: Dubuque, Iowa
47027: Clay, Tennessee
37101: Johnston, North Carolina
39149: Shelby, Ohio
48159: Franklin, Texas
29113: Lincoln, Missouri
16021: Boundary, Idaho
12047: Hamilton, Florida
31103: Keya Paha, Nebraska
17037: De Kalb, Illinois
51680: Lynchburg City, Virginia
23019: Penobscot, Maine
12023: Columbia, Florida
18135: Randolph, Indiana
51650: Hampton City, Virginia
21033: Caldwell, Kentucky
29149: Oregon, Missouri
20163: Rooks, Kansas
37163: Sampson, North Carolina
6103: Tehama, California
16015: Boise, Idaho
51115: Mathews, Virginia
33019: Sullivan, New Hampshire
56021: Laramie, Wyoming
34023: Middlesex, New Jersey
37045: Cleveland, North Carolina
19145: Page, Iowa
17195: Whiteside, Illinois
27155: Traverse, Minnesota
55117: Sheboygan, Wisconsin
1039: Covington, Alabama
31143: Polk, Nebraska
5033: Crawford, Arkansas
29189: St Louis, Missouri
48465: Val Verde, Texas
35025: Lea, New Mexico
19039: Clarke, Iowa
22091: St Helena, Louisiana
26043: Dickinson, Michigan
49045: Tooele, Utah
48135: Ector, Texas
28111: Perry, Mississippi
48151: Fisher, Texas
29069: Dunklin, Missouri
8107: Routt, Colorado
4013: Maricopa, Arizona
19099: Jasper, Iowa
37155: Robeson, North Carolina
48217: Hill, Texas
21217: Taylor, Kentucky
6055: Napa, California
46119: Sully, South Dakota
17107: Logan, Illinois
48495: Winkler, Texas
27021: Cass, Minnesota
54075: Pocahontas, West Virginia
13217: Newton, Georgia
51161: Roanoke, Virginia
42043: Dauphin, Pennsylvania
1133: Winston, Alabama
37041: Chowan, North Carolina
54069: Ohio, West Virginia
45021: Cherokee, South Carolina
49029: Morgan, Utah
56031: Platte, Wyoming
29059: Dallas, Missouri
45027: Clarendon, South Carolina
28013: Calhoun, Mississippi
42015: Bradford, Pennsylvania
21041: Carroll, Kentucky
26081: Kent, Michigan
21167: Mercer, Kentucky
13307: Webster, Georgia
48363: Palo Pinto, Texas
32019: Lyon, Nevada
46055: Haakon, South Dakota
21163: Meade, Kentucky
48141: El Paso, Texas
48393: Roberts, Texas
29019: Boone, Missouri
48489: Willacy, Texas
5007: Benton, Arkansas
25017: Middlesex, Massachusetts
39039: Defiance, Ohio
36115: Washington, New York
17093: Kendall, Illinois
51095: James City, Virginia
21185: Oldham, Kentucky
42097: Northumberland, Pennsylvania
20009: Barton, Kansas
38071: Ramsey, North Dakota
51119: Middlesex, Virginia
45067: Marion, South Carolina
51111: Lunenburg, Virginia
47149: Rutherford, Tennessee
48029: Bexar, Texas
12041: Gilchrist, Florida
6003: Alpine, California
55121: Trempealeau, Wisconsin
49025: Kane, Utah
54079: Putnam, West Virginia
48181: Grayson, Texas
47029: Cocke, Tennessee
28031: Covington, Mississippi
46065: Hughes, South Dakota
5005: Baxter, Arkansas
35015: Eddy, New Mexico
8073: Lincoln, Colorado
17011: Bureau, Illinois
27065: Kanabec, Minnesota
21093: Hardin, Kentucky
37195: Wilson, North Carolina
19111: Lee, Iowa
55111: Sauk, Wisconsin
16005: Bannock, Idaho
20153: Rawlins, Kansas
36101: Steuben, New York
19085: Harrison, Iowa
54083: Randolph, West Virginia
12037: Franklin, Florida
13061: Clay, Georgia
29197: Schuyler, Missouri
27007: Beltrami, Minnesota
12099: Palm Beach, Florida
20139: Osage, Kansas
47091: Johnson, Tennessee
42107: Schuylkill, Pennsylvania
48399: Runnels, Texas
29097: Jasper, Missouri
37177: Tyrrell, North Carolina
48271: Kinney, Texas
40129: Roger Mills, Oklahoma
13291: Union, Georgia
8087: Morgan, Colorado
42065: Jefferson, Pennsylvania
48351: Newton, Texas
19093: Ida, Iowa
18095: Madison, Indiana
19183: Washington, Iowa
6079: San Luis Obispo, California
29157: Perry, Missouri
27037: Dakota, Minnesota
13181: Lincoln, Georgia
47115: Marion, Tennessee
50011: Franklin, Vermont
40017: Canadian, Oklahoma
20037: Crawford, Kansas
6095: Solano, California
15009: Maui, Hawaii
39017: Butler, Ohio
8091: Ouray, Colorado
9001: Fairfield, Connecticut
28041: Greene, Mississippi
20177: Shawnee, Kansas
48329: Midland, Texas
53021: Franklin, Washington
17087: Johnson, Illinois
35029: Luna, New Mexico
18117: Orange, Indiana
5075: Lawrence, Arkansas
27019: Carver, Minnesota
21061: Edmonson, Kentucky
17145: Perry, Illinois
37069: Franklin, North Carolina
26089: Leelanau, Michigan
13023: Bleckley, Georgia
19031: Cedar, Iowa
36081: Queens, New York
47101: Lewis, Tennessee
12081: Manatee, Florida
37095: Hyde, North Carolina
40089: McCurtain, Oklahoma
2170: Matanuska Susitna, Alaska
28119: Quitman, Mississippi
39021: Champaign, Ohio
18115: Ohio, Indiana
2016: Aleutians West, Alaska
18145: Shelby, Indiana
16041: Franklin, Idaho
13285: Troup, Georgia
48307: McCulloch, Texas
4021: Pinal, Arizona
31133: Pawnee, Nebraska
18121: Parke, Indiana
5111: Poinsett, Arkansas
54031: Hardy, West Virginia
28049: Hinds, Mississippi
48413: Schleicher, Texas
29005: Atchison, Missouri
29510: St Louis City, Missouri
5143: Washington, Arkansas
21099: Hart, Kentucky
55009: Brown, Wisconsin
19137: Montgomery, Iowa
40091: McIntosh, Oklahoma
49051: Wasatch, Utah
20109: Logan, Kansas
42063: Indiana, Pennsylvania
17007: Boone, Illinois
36097: Schuyler, New York
48243: Jeff Davis, Texas
55007: Bayfield, Wisconsin
25013: Hampden, Massachusetts
48445: Terry, Texas
37021: Buncombe, North Carolina
37059: Davie, North Carolina
37109: Lincoln, North Carolina
49041: Sevier, Utah
5135: Sharp, Arkansas
29109: Lawrence, Missouri
48471: Walker, Texas
12107: Putnam, Florida
48073: Cherokee, Texas
26101: Manistee, Michigan
48071: Chambers, Texas
51149: Prince George, Virginia
31069: Garden, Nebraska
4017: Navajo, Arizona
26141: Presque Isle, Michigan
29207: Stoddard, Missouri
47173: Union, Tennessee
39153: Summit, Ohio
13143: Haralson, Georgia
29085: Hickory, Missouri
56045: Weston, Wyoming
34025: Monmouth, New Jersey
21031: Butler, Kentucky
51125: Nelson, Virginia
12019: Clay, Florida
48209: Hays, Texas
1015: Calhoun, Alabama
19125: Marion, Iowa
27025: Chisago, Minnesota
8113: San Miguel, Colorado
19197: Wright, Iowa
16027: Canyon, Idaho
19027: Carroll, Iowa
8055: Huerfano, Colorado
47129: Morgan, Tennessee
20007: Barber, Kansas
21239: Woodford, Kentucky
5011: Bradley, Arkansas
46009: Bon Homme, South Dakota
13065: Clinch, Georgia
48111: Dallam, Texas
5095: Monroe, Arkansas
29141: Morgan, Missouri
8047: Gilpin, Colorado
37111: McDowell, North Carolina
21069: Fleming, Kentucky
40011: Blaine, Oklahoma
50019: Orleans, Vermont
47147: Robertson, Tennessee
21131: Leslie, Kentucky
49019: Grand, Utah
6109: Tuolumne, California
8083: Montezuma, Colorado
5093: Mississippi, Arkansas
1077: Lauderdale, Alabama
20027: Clay, Kansas
47093: Knox, Tennessee
22075: Plaquemines, Louisiana
54019: Fayette, West Virginia
38093: Stutsman, North Dakota
23007: Franklin, Maine
26113: Missaukee, Michigan
48275: Knox, Texas
53037: Kittitas, Washington
46041: Dewey, South Dakota
21127: Lawrence, Kentucky
13241: Rabun, Georgia
28027: Coahoma, Mississippi
49037: San Juan, Utah
45085: Sumter, South Carolina
16039: Elmore, Idaho
18049: Fulton, Indiana
21125: Laurel, Kentucky
47077: Henderson, Tennessee
29117: Livingston, Missouri
19083: Hardin, Iowa
13051: Chatham, Georgia
29229: Wright, Missouri
23011: Kennebec, Maine
28081: Lee, Mississippi
48131: Duval, Texas
21115: Johnson, Kentucky
22027: Claiborne, Louisiana
8101: Pueblo, Colorado
51087: Henrico, Virginia
46067: Hutchinson, South Dakota
36051: Livingston, New York
28103: Noxubee, Mississippi
19067: Floyd, Iowa
21017: Bourbon, Kentucky
40045: Ellis, Oklahoma
40109: Oklahoma, Oklahoma
38053: Mckenzie, North Dakota
45081: Saluda, South Carolina
48373: Polk, Texas
51630: Fredericksburg City, Virginia
39113: Montgomery, Ohio
20059: Franklin, Kansas
48409: San Patricio, Texas
47065: Hamilton, Tennessee
26021: Berrien, Michigan
26091: Lenawee, Michigan
48291: Liberty, Texas
13049: Charlton, Georgia
54097: Upshur, West Virginia
26133: Osceola, Michigan
55105: Rock, Wisconsin
36103: Suffolk, New York
40143: Tulsa, Oklahoma
30071: Phillips, Montana
51031: Campbell, Virginia
17127: Massac, Illinois
20021: Cherokee, Kansas
37121: Mitchell, North Carolina
29051: Cole, Missouri
45025: Chesterfield, South Carolina
20115: Marion, Kansas
31013: Box Butte, Nebraska
19105: Jones, Iowa
29175: Randolph, Missouri
21175: Morgan, Kentucky
19003: Adams, Iowa
31153: Sarpy, Nebraska
21203: Rockcastle, Kentucky
29013: Bates, Missouri
1099: Monroe, Alabama
31079: Hall, Nebraska
19161: Sac, Iowa
20063: Gove, Kansas
25015: Hampshire, Massachusetts
41011: Coos, Oregon
42091: Montgomery, Pennsylvania
34005: Burlington, New Jersey
42117: Tioga, Pennsylvania
42019: Butler, Pennsylvania
21193: Perry, Kentucky
19163: Scott, Iowa
36121: Wyoming, New York
13179: Liberty, Georgia
27015: Brown, Minnesota
26015: Barry, Michigan
47013: Campbell, Tennessee
22103: St Tammany, Louisiana
24021: Frederick, Maryland
22035: East Carroll, Louisiana
8017: Cheyenne, Colorado
19151: Pocahontas, Iowa
28043: Grenada, Mississippi
54099: Wayne, West Virginia
6093: Siskiyou, California
48129: Donley, Texas
35051: Sierra, New Mexico
29159: Pettis, Missouri
18155: Switzerland, Indiana
21155: Marion, Kentucky
5045: Faulkner, Arkansas
55019: Clark, Wisconsin
40009: Beckham, Oklahoma
41007: Clatsop, Oregon
39013: Belmont, Ohio
40099: Murray, Oklahoma
47037: Davidson, Tennessee
29049: Clinton, Missouri
27125: Red Lake, Minnesota
26105: Mason, Michigan
38087: Slope, North Dakota
13295: Walker, Georgia
1083: Limestone, Alabama
4007: Gila, Arizona
31001: Adams, Nebraska
18107: Montgomery, Indiana
18039: Elkhart, Indiana
36021: Columbia, New York
41065: Wasco, Oregon
48295: Lipscomb, Texas
36093: Schenectady, New York
39135: Preble, Ohio
29123: Madison, Missouri
32003: Clark, Nevada
20165: Rush, Kansas
45049: Hampton, South Carolina
29055: Crawford, Missouri
22021: Caldwell, Louisiana
28121: Rankin, Mississippi
37189: Watauga, North Carolina
51009: Amherst, Virginia
23005: Cumberland, Maine
17175: Stark, Illinois
27029: Clearwater, Minnesota
39129: Pickaway, Ohio
30065: Musselshell, Montana
31113: Logan, Nebraska
12057: Hillsborough, Florida
19139: Muscatine, Iowa
22045: Iberia, Louisiana
41039: Lane, Oregon
1043: Cullman, Alabama
13083: Dade, Georgia
19119: Lyon, Iowa
23021: Piscataquis, Maine
33015: Rockingham, New Hampshire
47023: Chester, Tennessee
37097: Iredell, North Carolina
51019: Bedford, Virginia
31009: Blaine, Nebraska
47171: Unicoi, Tennessee
1041: Crenshaw, Alabama
17149: Pike, Illinois
28137: Tate, Mississippi
30059: Meagher, Montana
34001: Atlantic, New Jersey
16055: Kootenai, Idaho
51195: Wise, Virginia
22123: West Carroll, Louisiana
13089: De Kalb, Georgia
39165: Warren, Ohio
48507: Zavala, Texas
42033: Clearfield, Pennsylvania
5121: Randolph, Arkansas
39137: Putnam, Ohio
5117: Prairie, Arkansas
54071: Pendleton, West Virginia
40073: Kingfisher, Oklahoma
48391: Refugio, Texas
16013: Blaine, Idaho
19155: Pottawattamie, Iowa
24011: Caroline, Maryland
47015: Cannon, Tennessee
42103: Pike, Pennsylvania
25003: Berkshire, Massachusetts
38063: Nelson, North Dakota
13103: Effingham, Georgia
22079: Rapides, Louisiana
29029: Camden, Missouri
8035: Douglas, Colorado
39133: Portage, Ohio
48371: Pecos, Texas
20193: Thomas, Kansas
17031: Cook, Illinois
47081: Hickman, Tennessee
20033: Comanche, Kansas
46037: Day, South Dakota
21081: Grant, Kentucky
36015: Chemung, New York
